NUTS level,NUTS code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NUTS1,UKG,West Midlands,51916,53723,55781,58781,60850,62760,64420,66783,68659,71553,74221,76766,78941,80377,82363,85190,88300,91908,96850,99285,102028,107526
NUTS2,UKG1,"Herefordshire, Worcestershire and Warwickshire",13425,14082,14587,15431,16152,16770,17324,18106,18817,19830,20460,21225,21729,21857,22465,23260,24213,25230,26839,27746,28324,29941
NUTS3,UKG11,"Herefordshire, County of",1718,1819,1874,1996,2112,2185,2275,2384,2461,2629,2716,2847,2947,3029,3137,3232,3367,3435,3617,3658,3717,3934
NUTS3,UKG12,Worcestershire,5941,6286,6477,6738,7030,7323,7482,7878,8288,8763,8914,9163,9360,9334,9570,9900,10334,10767,11412,11669,11966,12710
NUTS3,UKG13,Warwickshire,5767,5978,6236,6697,7010,7262,7568,7844,8067,8438,8831,9215,9422,9494,9758,10128,10513,11029,11810,12418,12641,13296
NUTS2,UKG2,Shropshire and Staffordshire,14752,15348,15945,16629,17182,17745,18405,18959,19681,20668,21613,22483,23025,23375,23916,24681,25546,26384,27810,28196,29142,30694
NUTS3,UKG21,Telford and Wrekin,1516,1574,1621,1632,1639,1720,1813,1909,1922,2019,2117,2153,2213,2275,2378,2480,2545,2627,2779,2859,2935,3028
NUTS3,UKG22,Shropshire CC,2950,3140,3210,3351,3438,3569,3737,3918,4038,4316,4499,4789,4966,5012,5148,5273,5395,5570,5908,6066,6336,6678
NUTS3,UKG23,Stoke-on-Trent,2052,2059,2194,2271,2265,2302,2364,2446,2594,2646,2797,2854,2923,2985,3083,3193,3311,3393,3528,3600,3735,3962
NUTS3,UKG24,Staffordshire CC,8235,8576,8919,9375,9840,10154,10491,10686,11127,11686,12199,12687,12923,13104,13306,13736,14295,14794,15595,15671,16136,17026
NUTS2,UKG3,West Midlands,23739,24293,25250,26721,27517,28245,28690,29719,30161,31056,32148,33058,34187,35145,35982,37249,38540,40294,42201,43344,44562,46891
NUTS3,UKG31,Birmingham,8775,8976,9326,9915,10188,10467,10663,11067,11237,11673,12054,12416,12815,13235,13542,14010,14394,15128,15810,16202,16510,17442
NUTS3,UKG32,Solihull,2437,2506,2610,2776,3020,3124,3175,3250,3338,3396,3510,3592,3642,3679,3797,3931,4182,4352,4642,4722,4870,5189
NUTS3,UKG33,Coventry,2755,2768,2889,3126,3240,3323,3324,3445,3434,3507,3720,3841,3979,4110,4233,4379,4555,4742,4969,5173,5398,5631
NUTS3,UKG36,Dudley,2950,3028,3148,3303,3355,3408,3467,3616,3677,3795,3889,3956,4133,4259,4330,4504,4645,4801,4996,5105,5209,5413
NUTS3,UKG37,Sandwell,2365,2419,2517,2648,2696,2763,2826,2945,2999,3080,3170,3262,3412,3524,3617,3760,3860,4055,4268,4380,4496,4717
NUTS3,UKG38,Walsall,2283,2355,2439,2536,2561,2640,2676,2760,2801,2865,2962,3052,3178,3251,3332,3447,3590,3772,3929,4047,4222,4420
NUTS3,UKG39,Wolverhampton,2174,2240,2321,2417,2457,2520,2559,2635,2675,2741,2844,2938,3028,3087,3132,3217,3316,3444,3586,3715,3858,4079
NUTS1,UKH,East of England,59927,61446,64520,69046,72123,74802,76594,79302,83328,86553,91134,95014,98416,99924,102034,106671,111033,115709,122791,125930,130528,137698
NUTS2,UKH1,East Anglia,22201,22805,23882,25639,26646,27666,28362,29571,31396,32474,34246,35913,37117,38030,38845,40644,42005,43731,46151,47082,48613,51141
NUTS3,UKH11,Peterborough,1551,1587,1717,1830,1876,1931,1952,2002,2115,2260,2405,2482,2526,2610,2671,2786,2896,3067,3239,3352,3473,3612
NUTS3,UKH12,Cambridgeshire CC,6186,6453,6875,7264,7406,7800,7939,8380,9093,9555,9993,10317,10613,10827,10982,11526,12083,12771,13438,13827,14334,15253
